date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:39	752605/752605	---MCZ	200	added ('OK')	text/html	etag:W/%220730b61e62c5fb3789aeea622056a5f0%22	https://juancarlosveloso12.wixsite.com/vegans	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/vegans.html	(from )
11:21:39	201/201	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20Dec%202021%2014:20:11%20GMT	https://juancarlosveloso12.wixsite.com/robots.txt		(from )
11:21:40	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Mis%20lugares%20Web/Vegans%20web%20site/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Mis%20lugares%20Web/Vegans%20web%20site/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:40	65503/65503	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Oct%202021%2022:43:05%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Mis%20lugares%20Web/Vegans%20web%20site/polyfill.io/v3/polyfill.mind82c.js	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:13%20GMT	https://juancarlosveloso12.wixsite.com/47b73115.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/47b73115.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:13%20GMT	https://juancarlosveloso12.wixsite.com/1a3ca2ee.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/1a3ca2ee.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:13%20GMT	https://juancarlosveloso12.wixsite.com/16e44c05.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/16e44c05.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:14%20GMT	https://juancarlosveloso12.wixsite.com/6ac53ab7.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/6ac53ab7.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:14%20GMT	https://juancarlosveloso12.wixsite.com/02595569.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/02595569.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
11:21:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Dec%202021%2014:20:15%20GMT	https://juancarlosveloso12.wixsite.com/e5861f41.min.css	C:/Mis%20lugares%20Web/Vegans%20web%20site/juancarlosveloso12.wixsite.com/e5861f41.min.css	(from https://juancarlosveloso12.wixsite.com/vegans)
